,TV,newspaper,radio,sales
148,48.64,8.86,9.8,5.08
149,7.6000000000000005,2.3800000000000003,8.06,2.18
150,8.940000000000001,4.12,5.16,2.02
151,56.14,7.4,2.7800000000000002,3.2200000000000006
152,24.200000000000003,9.740000000000002,1.6800000000000002,2.32
153,39.52,2.84,4.66,3.3200000000000003
154,34.260000000000005,7.540000000000001,7.940000000000001,3.8000000000000003
155,37.56,1.9000000000000001,4.220000000000001,3.12
156,0.82,1.1400000000000001,2.32,0.6400000000000001
157,18.78,10.100000000000001,8.700000000000001,3.0600000000000005
158,29.960000000000004,4.86,0.26,2.02
159,2.34,9.040000000000001,7.38,1.46
160,26.34,6.920000000000001,3.6799999999999997,2.58
161,34.5,6.140000000000001,3.6200000000000006,2.8800000000000003
162,17.14,9.86,7.16,2.66
163,37.68,5.120000000000001,3.6200000000000006,2.9800000000000004
164,32.7,1.4800000000000002,7.359999999999999,3.6
165,23.44,1.08,2.94,2.3800000000000003
166,46.900000000000006,16.96,0.68,2.3800000000000003
167,3.58,4.32,7.5200000000000005,1.6
168,41.36000000000001,3.88,1.04,2.44
169,43.080000000000005,11.520000000000001,4.720000000000001,3.4200000000000004
170,56.86000000000001,1.2800000000000002,2.12,3.0
171,10.0,3.6799999999999997,2.32,1.6800000000000002
172,32.9,9.48,4.18,2.9000000000000004
173,3.9200000000000004,3.4000000000000004,4.0200000000000005,1.52
174,33.68,2.5600000000000005,1.42,2.34
175,44.480000000000004,2.62,0.68,2.3000000000000003
176,55.379999999999995,8.36,9.780000000000001,5.4
177,49.68000000000001,4.0600000000000005,6.04,4.04
178,34.04,7.040000000000001,1.56,2.34
179,55.34,4.74,0.45999999999999996,2.3600000000000003
180,33.12,3.5200000000000005,2.0,2.52
181,31.32,1.6600000000000001,0.52,2.1
182,43.7,5.48,1.08,2.44
183,11.240000000000002,5.94,1.1400000000000001,1.74
184,57.52000000000001,14.36,8.6,5.24
185,50.760000000000005,6.0,4.260000000000001,3.5200000000000005
186,41.0,3.9200000000000004,9.020000000000001,4.5200000000000005
187,27.900000000000002,5.32,0.42000000000000004,2.06
188,38.22,3.64,5.74,3.4600000000000004
189,57.2,0.7400000000000001,2.7800000000000002,3.18
190,3.74,4.68,2.42,1.34
191,7.9,1.16,8.22,2.16
192,15.100000000000001,1.2000000000000002,2.16,1.9800000000000002
193,3.44,6.32,0.82,1.1800000000000002
194,33.36000000000001,0.7200000000000001,8.4,3.9200000000000004
195,29.939999999999998,1.2000000000000002,7.120000000000001,3.4600000000000004
196,7.640000000000001,2.7600000000000002,0.7400000000000001,1.52
197,18.84,1.62,0.9800000000000001,1.94
198,35.4,1.2800000000000002,1.8600000000000003,2.5600000000000005
199,56.720000000000006,13.240000000000002,8.4,5.1000000000000005
200,46.42,1.74,1.72,2.68
1,69.03,20.76,11.339999999999998,6.63
2,13.35,13.53,11.79,3.12
3,5.159999999999999,20.79,13.77,2.79
4,45.449999999999996,17.55,12.389999999999999,5.55
5,54.24,17.52,3.24,3.87
6,2.61,22.5,14.669999999999998,2.16
7,17.25,7.05,9.839999999999998,3.54
8,36.06,3.48,5.88,3.9599999999999995
9,2.5799999999999996,0.3,0.63,1.44
10,59.94,6.359999999999999,0.78,3.1799999999999997
11,19.83,7.26,1.74,2.5799999999999996
12,64.41,1.2,7.199999999999999,5.22
13,7.14,19.77,10.53,2.76
14,29.25,2.16,2.28,2.9099999999999997
15,61.23,13.799999999999999,9.87,5.7
16,58.62,15.87,14.31,6.72
17,20.34,34.199999999999996,10.98,3.75
18,84.41999999999999,16.74,11.88,7.319999999999999
19,20.76,5.49,6.1499999999999995,3.39
20,44.190000000000005,5.73,7.169999999999999,4.38
21,65.52,16.02,8.309999999999999,5.3999999999999995
22,71.22,7.05,1.5299999999999998,3.75
23,3.9599999999999995,14.879999999999999,4.77,1.68
24,68.49,7.859999999999999,5.069999999999999,4.6499999999999995
25,18.689999999999998,5.49,3.78,2.9099999999999997
26,78.86999999999999,5.85,1.05,3.5999999999999996
27,42.87,3.78,8.79,4.5
28,72.03,6.869999999999999,5.01,4.77
29,74.64,6.869999999999999,8.13,5.669999999999999
30,21.179999999999996,12.239999999999998,4.8,3.15
31,87.86999999999999,12.96,8.49,6.419999999999999
32,33.87,11.58,5.22,3.57
33,29.16,9.0,0.44999999999999996,2.88
34,79.68,0.09,6.0,5.22
35,28.71,2.22,0.42,2.85
36,87.21,2.55,1.2299999999999998,3.84
37,80.07,1.5,13.139999999999999,7.619999999999999
38,22.41,13.71,14.819999999999999,4.409999999999999
39,12.93,10.53,8.01,3.03
40,68.39999999999999,9.6,11.31,6.45
41,60.75,9.48,6.69,4.98
42,53.1,11.610000000000001,10.02,5.13
43,88.08,0.54,8.309999999999999,6.21
44,62.07,7.919999999999999,2.52,3.87
45,7.53,12.989999999999998,7.709999999999999,2.55
46,52.529999999999994,9.45,6.75,4.47
47,26.91,10.71,2.97,3.1799999999999997
48,71.97,5.55,12.45,6.96
49,68.16,14.969999999999999,4.74,4.44
50,20.07,11.04,3.51,2.9099999999999997
51,59.94,10.38,0.9299999999999999,3.42
52,30.12,1.08,2.88,3.2099999999999995
53,64.92,11.88,12.51,6.78
54,54.779999999999994,17.61,13.860000000000001,6.359999999999999
55,78.80999999999999,4.77,8.64,6.06
56,59.67,18.0,14.819999999999999,7.109999999999999
57,2.19,12.42,8.43,1.65
58,40.85999999999999,4.98,5.76,3.9599999999999995
59,63.24,11.31,14.879999999999999,7.14
60,63.209999999999994,2.79,8.85,5.52
61,16.05,6.419999999999999,0.6,2.4299999999999997
62,78.39,16.41,12.81,7.26
63,71.79,8.19,4.6499999999999995,4.71
64,30.81,2.52,8.88,4.2
65,39.33,8.67,12.839999999999998,5.3999999999999995
66,20.7,0.27,2.79,2.79
67,9.45,0.66,7.38,2.85
68,41.79,3.0599999999999996,4.35,4.02
69,71.22,3.3,8.25,5.669999999999999
70,65.04,8.16,13.17,6.69
71,59.73,11.610000000000001,9.18,5.49
72,32.94,9.51,4.29,3.7199999999999998
73,8.04,5.79,9.9,2.64
74,38.82,9.39,1.71,3.3
75,64.02,3.9299999999999997,7.38,5.1
76,5.069999999999999,26.82,13.110000000000001,2.61
77,8.25,6.21,0.48,2.07
78,36.15,4.26,8.549999999999999,4.26
79,1.62,2.82,8.969999999999999,1.5899999999999999
80,34.8,6.930000000000001,2.31,3.3
81,22.92,6.69,8.01,3.54
82,71.94,11.069999999999999,1.2299999999999998,3.69
83,22.59,9.75,6.09,3.39
84,20.52,10.68,13.35,4.08
85,64.05,10.139999999999999,12.9,6.51
86,57.959999999999994,19.71,5.52,4.56
87,22.889999999999997,4.8,8.25,3.5999999999999996
88,33.21,18.96,12.18,4.8
89,26.49,22.02,7.6499999999999995,3.87
90,32.94,15.419999999999998,14.339999999999998,5.01
91,40.29,2.79,1.47,3.36
92,8.58,9.9,0.44999999999999996,2.19
93,65.30999999999999,17.7,10.049999999999999,5.819999999999999
94,75.27,21.689999999999998,10.95,6.659999999999999
95,32.22,3.27,4.2,3.4499999999999997
96,48.99,15.87,9.48,5.069999999999999
97,59.279999999999994,1.77,1.05,3.51
98,55.47,6.6,6.3,4.6499999999999995
99,86.91,15.36,12.69,7.619999999999999
100,40.559999999999995,13.77,12.51,5.159999999999999
101,66.72,14.939999999999998,1.2899999999999998,3.51
102,88.91999999999999,30.27,10.889999999999999,7.14
103,84.05999999999999,6.419999999999999,3.03,4.44
104,56.37,5.369999999999999,5.159999999999999,4.409999999999999
105,71.46,1.5899999999999999,10.29,6.21
106,41.37,17.7,13.92,5.76
107,7.5,8.91,3.3,2.16
108,27.12,6.96,0.09,2.61
109,3.9299999999999997,7.68,0.12,1.5899999999999999
110,76.62,1.65,8.069999999999999,5.94
111,67.74,16.95,2.4599999999999995,4.02
112,72.50999999999999,6.96,11.4,6.54
113,52.709999999999994,0.72,4.62,4.2299999999999995
114,62.879999999999995,3.2099999999999995,6.180000000000001,4.77
115,23.46,10.35,14.04,4.38
116,22.529999999999998,15.81,10.5,3.78
117,41.76,7.68,4.29,3.6599999999999997
118,22.92,4.44,0.24,2.82
119,37.71,23.76,11.069999999999999,4.77
120,5.819999999999999,6.69,4.8,1.9799999999999998
121,42.39,13.860000000000001,8.04,4.6499999999999995
122,5.64,15.12,6.51,2.1
123,67.2,4.68,0.72,3.48
124,36.93,3.7199999999999998,10.38,4.56
125,68.85,22.26,9.69,5.909999999999999
126,26.16,7.77,3.54,3.1799999999999997
127,2.34,15.18,11.67,1.9799999999999998
128,24.06,2.76,0.0,2.64
129,66.09,0.96,14.7,7.409999999999999
130,17.88,12.93,3.5999999999999996,2.9099999999999997
131,0.21,2.61,11.88,0.48
132,79.55999999999999,12.9,0.87,3.8099999999999996
133,2.52,0.63,8.16,1.71
134,65.94,13.53,10.049999999999999,5.88
135,11.069999999999999,19.679999999999996,11.58,3.24
136,14.489999999999998,2.55,14.1,3.48
137,7.68,2.79,11.7,2.85
138,82.11,17.91,8.67,6.24
139,12.9,6.1499999999999995,7.77,2.88
140,55.47,0.51,13.17,6.21
141,22.02,3.87,5.1,3.27
142,58.10999999999999,22.679999999999996,10.62,5.76
143,66.14999999999999,11.37,9.96,6.03
144,31.379999999999995,10.319999999999999,1.71,3.12
145,28.86,11.67,4.44,3.42
146,42.09,2.6999999999999997,0.57,3.0900000000000003
147,72.03,2.61,2.19,3.9599999999999995
148,72.96,13.29,14.7,7.619999999999999
149,11.4,3.57,12.089999999999998,3.27
150,13.41,6.180000000000001,7.74,3.03
151,84.21,11.1,4.17,4.83
152,36.3,14.61,2.52,3.48
153,59.279999999999994,4.26,6.99,4.98
154,51.39,11.31,11.91,5.7
155,56.34,2.85,6.33,4.68
156,1.2299999999999998,1.71,3.48,0.96
157,28.17,15.149999999999999,13.049999999999999,4.59
158,44.940000000000005,7.29,0.39,3.03
159,3.51,13.56,11.069999999999999,2.19
160,39.51,10.38,5.52,3.87
161,51.75,9.209999999999999,5.430000000000001,4.32
162,25.71,14.79,10.739999999999998,3.99
163,56.52,7.68,5.430000000000001,4.47
164,49.05,2.22,11.04,5.3999999999999995
165,35.16,1.62,4.409999999999999,3.57
166,70.35,25.439999999999998,1.02,3.57
167,5.369999999999999,6.48,11.28,2.4
168,62.04,5.819999999999999,1.56,3.6599999999999997
169,64.62,17.28,7.08,5.13
170,85.29,1.92,3.1799999999999997,4.5
171,15.0,5.52,3.48,2.52
172,49.35,14.219999999999999,6.27,4.35
173,5.88,5.1,6.03,2.28
174,50.52,3.84,2.13,3.51
175,66.72,3.9299999999999997,1.02,3.4499999999999997
176,83.07,12.54,14.669999999999998,8.1
177,74.52,6.09,9.059999999999999,6.06
178,51.059999999999995,10.56,2.34,3.51
179,83.00999999999999,7.109999999999999,0.69,3.54
180,49.68,5.28,3.0,3.78
181,46.98,2.49,0.78,3.15
182,65.55,8.219999999999999,1.62,3.6599999999999997
183,16.86,8.91,1.71,2.61
184,86.28,21.54,12.9,7.859999999999999
185,76.14,9.0,6.39,5.28
186,61.5,5.88,13.53,6.78
187,41.85,7.98,0.63,3.0900000000000003
188,57.33,5.46,8.61,5.19
189,85.8,1.11,4.17,4.77
190,5.609999999999999,7.02,3.63,2.01
191,11.85,1.74,12.33,3.24
192,22.65,1.7999999999999998,3.24,2.97
193,5.159999999999999,9.48,1.2299999999999998,1.77
194,50.04,1.08,12.6,5.88
195,44.91,1.7999999999999998,10.68,5.19
196,11.46,4.14,1.11,2.28
197,28.26,2.4299999999999997,1.47,2.9099999999999997
198,53.1,1.92,2.79,3.84
199,85.08,19.86,12.6,7.6499999999999995
200,69.63,2.61,2.5799999999999996,4.02
1,92.04,27.680000000000003,15.12,8.840000000000002
2,17.8,18.040000000000003,15.719999999999999,4.16
3,6.88,27.72,18.36,3.7200000000000006
4,60.6,23.400000000000002,16.52,7.4
5,72.32000000000001,23.36,4.32,5.16
6,3.48,30.0,19.560000000000002,2.8800000000000003
7,23.0,9.4,13.12,4.720000000000001
8,48.080000000000005,4.64,7.840000000000001,5.28
9,3.44,0.4,0.8400000000000001,1.92
10,79.92000000000002,8.48,1.04,4.24
11,26.439999999999998,9.68,2.32,3.44
12,85.88,1.6,9.600000000000001,6.96
13,9.520000000000001,26.360000000000003,14.040000000000001,3.6799999999999997
14,39.0,2.8800000000000003,3.04,3.88
15,81.64,18.400000000000002,13.16,7.6000000000000005
16,78.16000000000001,21.16,19.080000000000002,8.959999999999999
17,27.12,45.6,14.64,5.0
18,112.56,22.32,15.840000000000002,9.76
19,27.680000000000003,7.32,8.200000000000001,4.5200000000000005
20,58.92000000000001,7.640000000000001,9.56,5.84
21,87.36000000000001,21.36,11.08,7.2
22,94.96000000000001,9.4,2.04,5.0
23,5.28,19.840000000000003,6.36,2.2399999999999998
24,91.32000000000001,10.48,6.76,6.2
25,24.92,7.32,5.04,3.88
26,105.16,7.800000000000001,1.4000000000000001,4.800000000000001
27,57.160000000000004,5.04,11.72,6.0
28,96.04,9.16,6.68,6.36
29,99.52000000000001,9.16,10.840000000000002,7.56
30,28.24,16.32,6.4,4.2
31,117.16,17.28,11.32,8.56
32,45.160000000000004,15.440000000000001,6.96,4.760000000000001
33,38.88,12.0,0.6000000000000001,3.84
34,106.24000000000001,0.12,8.0,6.96
